id,chemical_signature_1,gill-color,spore-print-color,veil-type,cap-surface,region,ring-type,stalk-color-below-ring,local_humidity_index,spore_dispersal_score,chemical_signature_2,stalk-color-above-ring,fiber_thickness_score,soil_mineral_level,ring-number,risk_synergy_index,chemical_signature_3,stalk-root,has_ring_flag,habitat,pore_density_index,forest_canopy_density,cap_radiation_index,stalk-surface-below-ring,gill-attachment,airflow_intensity,stalk-shape,bruises,population,stalk-surface-above-ring,gill-size,surface_moisture_level,gill-spacing,veil-color,cap-color,dark_spore_flag,cap-shape,cap_firmness_index,is_dangerous
7673,-1.150698583405546,w,w,p,y,region_plains,p,w,0.026641805674737062,0.7135145583969401,0.5538884705745485,w,-0.7382787467151595,1.0447097417870035,t,0.0,-1.1861958991705643,b,1,p,1.6583162133759626,1.7652772198805924,-0.025943553289247263,s,f,0.8541465646978367,e,t,v,s,b,0.5627170607896943,c,w,c,0,f,-0.01968246606047596,0
1208,-0.8079535630746212,h,k,p,s,region_forest,e,w,-0.48646498550897116,-0.08756098849988408,0.5393973166563141,w,0.4898937344850292,0.8954395734172974,o,1.0,-0.8150639916113316,e,1,g,0.961105059664983,-0.15459017086522572,-0.7194964392201012,s,f,-0.2882480008097274,t,f,a,f,b,-0.4220250535832728,w,w,w,1,f,1.0038419504114928,0
3593,-0.9110383713962783,w,k,p,y,region_other,p,g,0.39357421384073693,-0.8305947755215838,0.2969094457520699,p,-0.13969765083975635,-0.6416408916490052,o,0.0,-1.1104419421096674,b,1,d,-0.4335572542651655,0.18026093456439418,-0.6132783046932098,s,f,-0.881811358108344,t,t,y,s,b,0.6902451506944685,c,w,g,1,f,-1.032660109450773,0
171,-1.1903375578204005,k,n,p,s,region_forest,p,w,0.22645205713167696,0.6164403161483131,0.7141520815900381,w,1.958305230511061,-0.48696219042961175,o,1.0,0.827325115650737,c,1,g,-0.2643311327181731,0.4233001720100288,-0.45419284961009254,s,f,-0.24260434115943963,e,t,s,s,b,-1.5829253068032094,c,w,y,1,b,0.3728002566626673,0
1429,0.8727146437723127,p,k,p,y,region_urban,p,w,1.2560626622635453,0.7241538009204597,-0.060448329597330694,w,0.8142285591053363,-1.0994302844835033,o,0.0,-0.06225352159110334,e,1,u,-1.1147662614171479,0.1110027400411851,0.7470022775859723,s,f,0.024280641198366208,e,t,v,s,n,-0.6128486875756598,c,w,n,1,f,-0.21370423830464388,0
400,-0.9683733860203186,w,n,p,y,region_forest,p,w,-1.7642189942090074,-1.6718525639826656,0.9913060489860619,w,-0.5735918709807759,-0.3437049728789464,o,1.0,0.8910294871439149,c,1,g,-0.4516452924035768,-0.3376687706867935,-0.6127931392738324,s,f,0.4712998273903343,e,t,n,s,b,-0.8191828677720735,c,w,w,1,b,1.8968484696425045,1
7135,-1.0097080368243625,n,n,p,s,region_meadow,p,o,0.2520378603082542,-0.46749286024822345,0.5656886225816544,o,-0.07872983168064258,-1.743539943058687,o,0.0,-0.7661228403171068,?,1,l,-0.6875380762251992,0.8423214771804601,1.6911227693046076,s,a,0.707425847514759,e,f,v,s,b,-0.9035407019377701,c,o,n,1,x,0.02865093375864512,0
3612,-0.6214275331725585,w,n,p,y,region_other,p,g,-0.9427773263403201,-0.4611571608832473,0.7788122998781011,p,0.7409054536231927,0.8553812002454478,o,0.0,-1.180951406088522,b,1,d,-0.3616936007084568,-1.2587277053957027,0.7215888344507068,s,f,2.019767160148002,t,t,v,s,b,1.5574630321225897,c,w,n,1,f,-0.49097810052633667,0
7440,-0.7162289648473686,n,o,p,s,region_meadow,p,o,0.9780049928791514,0.08864870986658471,0.20884804706277388,o,-0.6870751846137111,0.023981199761788318,o,0.0,-1.0746668773377832,?,1,l,-1.6998908215680726,0.1672801258451741,-0.8075709739123369,s,a,0.10040378254319735,e,f,v,s,b,0.8428806577443804,c,o,n,0,k,-0.5941914500838615,0
16,-0.7211953920696845,k,n,p,f,region_forest,e,w,-0.5626075878719655,-1.207195539485836,0.283300254815192,w,0.477725258685303,1.000669596835044,o,1.0,-0.9271746626136561,e,1,g,-1.761366089894247,1.631764908373111,-1.225012250238406,s,f,0.785383207579523,t,f,a,s,b,-1.5677876727629565,w,w,w,1,f,-0.08690409649534755,0
4381,0.3298315145305576,h,h,p,y,region_forest,l,n,0.6119905719023991,-0.42031728416130887,-0.25824649264488286,n,-0.5837023794170776,1.2499747541244872,o,1.0,-0.16943039404818927,b,1,g,-0.4477852656730563,0.052106086997307115,-0.013989275824220236,k,f,-0.045195045066190966,e,f,y,k,b,-0.9106460013957081,c,w,y,1,x,-0.14812829208209022,1
6931,-0.6709050372502313,b,w,p,s,region_meadow,e,p,0.15574723702159932,-0.3072382632034702,1.2763606502234763,w,-0.0985873489802969,-0.9569793645381682,o,0.0,-0.011337287034439675,?,1,l,1.1407019624876413,0.03834836031919043,0.2101264292269831,s,f,-0.46632324254104046,t,f,v,s,n,1.0470874087269488,c,w,n,0,f,-0.668826611318101,0
620,-0.8131169239912771,p,k,p,y,region_forest,p,w,-0.3529336999351693,0.43764546145710304,0.5671573904250524,w,1.0882705619517044,0.49682412261067554,o,1.0,0.8863635803244675,r,1,g,0.24299539156590835,0.48323756042035193,-0.8972699791536853,y,f,0.845669036268482,e,t,s,s,b,-1.1268373489932375,c,w,y,1,f,-0.8021165410409284,1
6884,-1.13223905956271,w,w,p,f,region_forest,p,w,0.6466648649534875,-1.7582311439983018,0.5832382275270568,w,-1.330242007416869,0.765560997630513,t,0.0,-0.9772770854358366,?,1,g,-0.21508817147438905,0.00408883648184415,0.4299679040625751,k,f,-0.2334356899166359,e,f,n,k,b,1.9040458032967142,w,w,g,0,k,2.0588204217713244,0
5067,0.4736710489045557,g,h,p,y,region_plains,l,b,2.003408994095771,-0.6989901331860449,-0.2821224569001151,p,-0.8546280990864455,1.4419378930983344,o,0.0,-0.30750365320918793,b,1,p,-0.636507207008837,-0.40888662002048415,0.6094823650922282,k,f,-0.7355922236630578,e,f,y,k,b,-0.9888801250587383,c,w,g,1,f,1.4778738705793544,0
3417,-0.4563586597721013,g,h,p,f,region_forest,l,p,-1.575523328323491,-0.47089367801207666,-0.10734068368932764,n,0.7403515780296338,-0.512038514682222,o,1.0,-0.08519553697631702,b,1,g,-0.46036070215464225,0.4234023915041792,1.3766929432259558,k,f,-0.2082149864785148,e,f,y,k,b,1.5301814051454,c,w,g,1,x,-0.4796654842457585,1
379,0.10768547329226608,k,n,p,y,region_forest,p,w,2.152607132914296,-0.32606715300957895,-1.2121524419452097,w,-0.17325533360384693,0.8133863582119084,o,1.0,1.2419360142216356,c,1,g,-1.110634841123554,-0.6761083795856766,1.3267628128705538,s,f,-0.00421297353963368,e,t,s,s,b,-1.0225259884408404,c,w,y,1,b,-0.4753562369802145,1
478,0.15979486945088647,p,n,p,s,region_other,p,w,0.27514775304023786,1.0255442238163983,-1.2107359507579778,w,-0.007562069605381313,2.1072270291993362,o,0.0,0.8423923868094547,b,1,d,0.30641559486331216,1.819338195786848,1.6420284812748887,s,f,3.5970565728094765,t,t,v,s,n,1.5891194202104135,w,w,w,1,x,-0.708748432659443,1
6703,-0.5402100612096125,b,w,p,s,region_other,e,w,1.139585881250832,-0.3151598545010234,1.4203950653580892,w,-0.41393530648917126,-0.15105121010722158,o,0.0,0.032704931293475265,?,1,d,0.1623680287353813,1.3768591979805858,-0.15881821809333768,s,f,-0.3370023458009528,t,f,v,k,n,-1.145361036351618,c,w,n,0,f,0.5390115309989983,0
7166,0.045152924710054325,y,w,p,y,region_other,n,c,1.3096008469937879,0.7635861162194049,0.7951677576370235,c,0.1807450559383919,0.26726002874983584,n,0.0,0.5828721372512701,c,0,d,-0.2778928728435052,0.5488766107891484,-0.3326293349067565,y,f,0.7009067160976523,e,f,c,k,b,-1.219755765156648,c,w,n,0,f,0.4505729041273986,0
6224,0.26806674308830625,b,w,p,y,region_plains,e,p,0.606635668771644,-1.5577131380331222,-0.23439991049955006,p,-0.6449640765082184,0.9441792763021701,o,0.0,0.21238874277441175,?,1,p,-0.8751201219115735,0.2062691438425394,0.1302057068121475,s,f,-0.48642062234156724,t,f,v,k,n,2.3475467897802926,c,w,e,0,k,0.08218407635076586,0
3050,-0.6211222540316202,p,k,p,f,region_other,p,p,1.3773506469481982,-0.8025197496646157,0.29570807711473185,p,0.09125189845789873,-1.1404178221284975,o,0.0,-0.7573970787055343,b,1,d,-0.28592357958893344,-0.9343046343506664,0.07145470291756534,s,f,-1.0324432244850543,t,t,y,s,b,-0.9382225372182782,c,w,e,1,f,-1.0508601023354023,0
3401,-0.5826695546693905,n,n,p,y,region_other,p,g,-1.337356402028179,-0.9913577573461652,0.3846203608928427,g,-1.004671977919872,-1.060636228469669,o,0.0,-0.7962231300449575,b,1,d,-0.5408758207214132,-0.7644337939310017,0.8598480898632358,s,f,-0.2990336086729525,t,t,y,s,b,-0.7851547652580402,c,w,n,1,f,0.2705202171981383,0
7450,-0.7712872005553615,p,w,p,f,region_forest,p,w,1.887266848278276,0.7081253762279636,0.2474983742529282,w,-0.9005861402995533,0.8948412705146791,t,0.0,-0.7230320540033887,?,1,g,-2.604312685162955,-0.4690155190146587,0.658349131031548,k,f,-0.14856319370816412,e,f,s,k,b,-0.9941216954839313,w,w,g,0,x,0.1890655306673216,0
5990,0.16048748691075718,p,h,p,f,region_other,l,n,0.7619166616566688,0.27339530763588904,-0.6583508077052935,n,-0.47848776337686233,-0.7942898063483428,o,0.0,0.009435333399034934,b,1,d,0.2519545278920137,0.4370631019049177,0.3763776460658829,k,f,-0.12533148515129655,e,f,y,k,b,1.446075257271749,c,w,y,1,f,-0.3542691660752306,0
7282,-0.6591002807837036,b,w,p,s,region_other,e,p,0.5863637575394987,0.5097474684534062,1.2432641331008736,w,1.3236745809317332,0.5289556732389198,o,0.0,-0.14131574528350369,?,1,d,-0.32207211509930417,-0.3461920706854368,-0.7938010796666107,s,f,-0.3858445907529938,t,f,v,k,n,1.8747451871285001,c,w,n,0,k,-0.42894891219097825,0
1213,-0.857382005631869,n,k,p,f,region_forest,e,w,0.4344474577897874,0.35284780454844117,0.14863771747646848,w,-0.8388169067106706,0.4761527011783217,o,1.0,-1.305759753318779,e,1,g,-1.110712315210411,-0.6738060223316287,0.7129948189131489,f,f,-0.05242532376528393,t,f,a,f,b,-1.585464357237008,w,w,g,1,x,-0.14898012949935724,0
7626,-1.0460096770235805,p,w,p,s,region_forest,p,w,-1.9036042730060219,1.0281143725879538,0.2625003512428311,w,0.2385867039998174,1.0830577451774615,t,0.0,-1.2077649760108633,?,1,g,-1.4101346103859302,0.35072386582300935,-0.6224652008734847,k,f,1.1909904844933974,e,f,s,k,b,0.5257225949182202,w,w,w,0,x,0.6833854187344675,0
3970,0.30250746570974363,g,h,p,y,region_plains,l,n,0.7725789456339586,0.06734390079144043,-0.27684663125053344,b,0.41146635605529036,-0.082962194553325,o,0.0,0.2953138965333363,b,1,p,1.3502187942749044,0.2998915905286391,2.9209948396223995,k,f,-0.349638670319784,e,f,v,k,b,-0.9908724872828961,c,w,g,1,x,-1.8518550486073069,0
219,-0.9463739574720307,p,n,p,f,region_urban,p,w,-0.14065978007264462,2.1162129802446357,0.2729301499001028,w,0.40740189749048233,0.41485854659270976,o,0.0,-0.8007222565932011,e,1,u,-1.2320572471298203,-0.9818191669457568,-1.619997966969688,s,f,-0.05554573473542398,e,f,v,s,n,0.542567403303669,c,w,g,1,s,-0.17044903322301097,0
342,0.7937431087662148,g,k,p,s,region_forest,p,w,-0.5418457878188996,-0.22281138642733203,-1.3154472373445691,w,-0.29610728194581054,-0.845827153123826,o,1.0,1.044854109104484,c,1,m,-0.6161193915995677,0.39040572784891686,-0.3709294493304,s,f,-0.07714400577148503,e,t,s,s,b,0.41069690294990724,c,w,y,1,x,0.6642428564252366,1
5021,1.1243983530528476,p,n,p,s,region_other,p,w,-0.19314176337560338,-0.2553881161384811,-1.9611115897505849,w,-0.22830294346107644,-0.4069588123491956,o,0.0,-1.4425667713887766,b,1,d,0.10027564591500158,0.12367894156497665,-0.20419608328693825,s,f,-1.2119155169254274,e,f,v,s,n,1.9798879628191401,c,w,g,1,x,0.5857396653217134,1
502,-1.086009546865788,g,k,p,s,region_forest,p,w,0.40180646866123215,-1.8148038243454954,1.2811490520998563,w,-0.8218802449108784,-0.19832056323833333,o,1.0,0.5859063848005747,c,1,m,0.4432675303706246,-0.8981249446935489,-0.007411871122308502,s,f,-0.4360799317342211,e,t,n,s,b,2.0015801794027412,c,w,w,1,x,-0.1986427571850607,0
3117,-0.4630397719388534,n,k,p,f,region_other,p,p,1.6241932686673441,-0.5500917090202843,0.41899354354173723,g,-0.8199635619415935,-0.7254012015908786,o,0.0,-0.7850175154524759,b,1,d,-0.177360566077033,1.8430915523754083,-0.7825883197310293,s,f,0.1511754826754319,t,t,v,s,b,1.9163760918349384,c,w,e,1,f,-0.13060062312335372,0
1914,-0.8293956427353364,p,n,p,f,region_forest,e,w,-2.1500157254299292,1.6313247255539178,0.6095072146875881,w,-1.0564291981889762,-0.3047704936646701,o,1.0,-0.8418547093367836,e,1,g,0.5958539122367021,-0.29837858615615914,0.1478797813076043,s,f,-0.889944130121162,t,f,a,f,b,0.26516429551667925,w,w,g,1,f,1.8699688148286506,0
4993,-0.7777730517989114,e,w,p,s,region_wetlands,e,w,1.0945316809375756,-2.0739143390990407,0.46382330081533935,w,-0.633541359554342,-1.4556056409611644,t,0.0,-1.239767033974475,?,1,w,0.8731977048161239,1.0868519049120764,0.8177712645604712,s,f,-0.630324625177676,e,t,c,s,b,-0.058194192232691726,c,w,b,0,f,0.14722825871345485,0
1657,-0.8493443297943185,p,n,p,f,region_forest,e,w,0.29243495926460894,0.2801589467338124,0.19020434223489713,w,-1.176537403800494,0.9653325278291708,o,1.0,-1.0104730194772116,e,1,g,-0.5712053591808328,-1.0997380183476537,0.7111283020418536,s,f,-1.4081524704562052,t,f,s,s,b,1.316892582989337,w,w,g,1,f,-0.07161511986624255,0
6803,0.6301252065422863,b,w,p,y,region_meadow,e,w,0.18752947080284346,-0.48771136656401465,-0.11220218405236518,w,-0.3924344305488174,-0.11555669166252648,o,0.0,0.016775299460789622,?,1,l,1.5843848429388734,0.04208456108510345,1.4637825085545852,k,f,-0.7113171263053132,t,f,v,s,n,-0.7276872520970253,c,w,e,0,f,-0.25355962542200916,0
4328,0.18794249853230988,g,h,p,f,region_other,l,p,0.45071456079877026,-0.455883026392179,-0.5821457249738793,b,0.16873918389820683,-2.5855942143797432,o,0.0,0.07811569308361535,b,1,d,0.16683408276588202,1.7374983072144132,0.05442515569419588,k,f,0.14777964063730809,e,f,y,k,b,-0.16855724063751104,c,w,y,1,x,0.24333406506867974,1
6460,-0.39720248199115066,b,w,p,y,region_meadow,e,p,0.6188281661299364,-0.8994532194816335,1.4120284659848452,p,-2.3429413909182446,-0.758343934234813,o,0.0,-0.3983428615598188,?,1,l,0.3921370013298016,-0.7924884136086495,0.03134177298361479,k,f,0.21235084312354463,t,f,v,k,n,-2.172293204983374,c,w,e,0,f,-0.48342632454889223,0
3903,0.2769682439074171,p,h,p,f,region_forest,l,b,0.5089652185190372,-0.6532363691935014,-0.09864383894922796,p,-0.5507593970748966,0.7722050412555694,o,1.0,0.3264843387911276,b,1,g,-0.30357721517845065,-0.5700861751051968,-0.5873509969433637,k,f,0.07345467875803165,e,f,v,k,b,-0.3616147103562734,c,w,y,1,x,0.5260040829109638,1
5265,0.1302059469942805,b,w,p,y,region_other,e,p,-0.7516168049831455,-0.3117379238157945,-0.06234329370236419,p,0.5702241571818317,0.16350232019718014,o,0.0,0.07581243471089902,?,1,d,0.3416569110860863,-0.5180116311498396,-0.5229242471207276,s,f,0.3082629837912606,t,f,v,s,n,-0.25805062781809435,c,w,n,0,x,2.2561977750354685,0
4317,-0.05390826136995916,h,h,p,f,region_forest,l,b,-0.00952747212460637,0.6238240853878796,-0.5330933758610008,b,-0.6299479333229298,-0.1886698055762942,o,1.0,0.023229993513416362,b,1,g,-0.4354515887218646,-1.0211999594746919,-0.5418948104700471,k,f,2.0758285974572144,e,f,v,k,b,0.2985928023518617,c,w,g,1,f,1.0210645232945812,1
2171,-1.1709759188266136,n,n,p,f,region_other,p,g,0.09751503717540133,0.8171266087279394,0.4987263787810122,g,0.6011150120690152,0.9780122547503663,o,0.0,-0.8230021158836784,b,1,d,0.06152306290051249,-1.1586469261889183,0.935518983540356,s,f,0.42917675573817604,t,t,v,s,b,-0.8188758697343548,c,w,g,1,x,0.1198503182351572,0
691,-0.8017121814311277,k,k,p,y,region_forest,p,w,-1.5690201662558225,0.09407790964462556,0.5365007957636042,w,-0.8077680883413757,1.3069138644219729,o,1.0,0.6350280359852061,c,1,g,0.39489190496700116,0.8906583936509498,-0.39321610070412566,s,f,-0.1376999266604957,e,t,s,s,b,0.13386049487057597,c,w,w,1,b,-0.7245795902054749,1
5364,-0.1833293341971549,h,h,p,s,region_urban,p,w,-0.39302209530608734,1.4239541010655123,-0.6771646123510181,w,-1.984635206789751,0.08383085729756665,o,0.0,0.23249932598541065,b,1,u,-0.4984145126614426,0.976539570563167,-0.825410826416864,f,f,0.6281061703488622,t,t,s,s,b,0.931813972478092,c,w,g,1,f,0.8234164029758364,0
313,0.2535506654862667,p,n,p,f,region_other,p,w,1.4119352569526147,-0.7872298003535708,-1.188422525039983,w,0.41458339446805137,-0.4850157595423554,o,0.0,0.935322747243944,b,1,d,0.678793133671633,0.781803185876793,0.19076813536300788,s,f,0.7543503824061982,t,t,v,s,n,-1.574473417171211,w,w,w,1,x,0.3082317096919268,0
5242,0.43310508161683636,g,h,p,y,region_other,l,p,-0.44220427609203167,0.3509413526813074,-0.5660789112701166,p,-1.183725916557688,0.2973434944861839,o,0.0,0.0709692004148309,b,1,d,0.9488811883715361,-0.22717082771207564,-1.295871419013411,k,f,0.5985251027080748,e,f,v,k,b,1.0131610731155947,c,w,y,1,f,0.02868553576688976,0
7544,-0.0015655544361057594,b,w,p,y,region_plains,e,p,-0.2905792310780239,-0.5583388441562842,-0.21420874076763663,p,-0.51308444558751,0.6372550674297773,o,0.0,-0.3606927974684906,?,1,p,-1.2643472752150489,0.11750067086796277,-1.3220759029824691,s,f,1.2467053383865225,t,f,v,s,n,-0.746994594550007,c,w,n,0,k,2.3454988004422903,0
5054,0.08058991021332547,p,h,p,y,region_other,l,p,0.24582691276038415,-0.6552826392107193,-0.5775577656584953,p,0.8908413522220576,0.5454412391404504,o,0.0,-0.024927475495985132,b,1,d,0.03732166841660838,0.6508952895815312,-0.028242368911523937,k,f,-2.1712202553154216,e,f,y,k,b,0.3930668835292592,c,w,g,1,x,0.5546609033192447,0
2477,-0.9879900046998641,u,k,p,y,region_other,p,g,1.4575449363170596,-0.2071239413741517,0.35826163078339873,w,-2.4887501719441967,1.4755962744472224,o,0.0,-0.8887000068669784,b,1,d,-2.2534651294691437,-0.11373502252082521,-1.5858876116103293,s,f,0.1660759532676018,t,t,y,s,b,-0.6341756507508581,c,w,g,1,x,0.08533832201513372,0
5836,-1.1222527954946753,h,h,p,y,region_other,f,w,1.168103372625085,0.36204595661794936,0.13615106934081375,w,1.2265416421776556,0.10386603927704134,o,0.0,-1.016811679517328,?,1,d,1.0529280220603778,-1.2558134145755668,0.9172072040237143,f,f,-0.7225192665995538,e,f,y,s,n,1.6764484747541808,c,w,w,1,x,-0.2882542455432438,0
2821,-0.8041361804980702,p,n,p,f,region_other,p,p,0.14133201740701543,-1.3335496322061864,0.7795508417768674,g,1.3967136699972644,-0.5503725770043393,o,0.0,-0.8672355053718266,b,1,d,0.548668971399354,1.6841292464289175,0.2951535731000438,s,f,0.4476376858556839,t,t,y,s,b,0.3345263327879486,c,w,g,1,x,0.7558108608102533,0
1331,-0.8202162796954785,n,k,p,s,region_forest,e,w,0.7024950285253644,0.14877987768909046,0.4411133730034954,w,-1.0939754993701476,-0.7712209623424577,o,1.0,-1.2302025710168216,e,1,g,0.8778003129460692,1.6117600260148357,-0.5274878760205167,s,f,0.05407323495335654,t,f,a,s,b,-0.29258364903458406,w,w,w,1,f,1.9788167865412298,1
5638,-0.6675098043922033,e,w,p,s,region_wetlands,e,e,-0.3112432998115118,-0.8090684121694205,0.22354094240756267,w,0.9730711907679372,-0.9522122288884618,t,0.0,-0.6787247497667381,?,1,w,-0.685197172483122,-0.2879114204628246,0.15398139635248204,s,f,0.8202692670036446,e,t,c,s,b,0.514112769211167,c,w,e,0,k,-1.8645494833922944,0
6421,-0.5914383643460497,b,w,p,y,region_meadow,e,w,0.5670869546790439,-0.8395014864182271,1.159319051771492,p,0.7464803100926451,-0.13446073509654177,o,0.0,-0.6172338801807573,?,1,l,-1.7791486572268747,0.32383892846489704,-0.2606360880877824,s,f,0.5320210880754207,t,f,v,s,n,-0.6920037006287194,c,w,e,0,f,1.377919395197816,0
2538,-0.6874132447851542,n,k,p,f,region_other,p,g,-1.2357083358437808,-1.7016797619379807,0.10231124142429643,w,-1.1399703303623792,0.388580227140687,o,0.0,-1.1236217961432655,b,1,d,1.449482897314093,0.38204960640867774,-0.4580787543169702,s,f,-1.092240422267929,t,t,v,s,b,-0.7217351961389874,c,w,e,1,x,-1.85388690464819,0
6279,-0.4156710613483515,p,w,p,s,region_forest,p,w,1.2912357175417148,-0.8659273571857661,0.6436987770964943,w,0.9168265447100192,0.3810829552999635,t,0.0,-0.8879987197630572,?,1,g,0.16859918597360865,0.1938079786965326,1.3967839324150277,k,f,1.2137687419347272,e,f,s,k,b,-0.4877589371359853,w,w,w,0,b,0.2552635980681399,0
2082,-0.23891530213426548,n,n,p,f,region_other,p,g,1.0860419733459836,-1.7836402605339212,0.3442155398595548,g,-0.9394896481056498,0.27291402911681656,o,0.0,-0.982707607572265,b,1,d,-1.0252956040128745,-0.20623518517418282,-0.5716994097507161,s,f,2.5415453935799595,t,t,v,s,b,0.5956928505794573,c,w,n,1,x,-1.3356771456393552,0
4419,-0.877160609615741,e,w,p,s,region_wetlands,e,w,0.011124175425538424,-1.0246512988321341,0.5070691876039551,w,-0.6577532919948523,0.1357438334421156,t,0.0,-0.9415939731553622,?,1,w,-0.33955078249602993,1.4364266557158774,0.40753276011889983,s,f,-1.585152055750484,e,t,c,s,b,0.15474839038620564,c,w,b,0,x,-1.7643055663760319,0
7193,-0.8849738160965414,b,w,p,y,region_plains,e,p,0.4314453650788357,0.14382827909960455,1.4342497203667801,p,-0.7760682331755733,0.014023336712242904,o,0.0,-0.03195731092059659,?,1,p,-0.9509890631197224,-0.1448406817490909,-2.2259354287234787,s,f,-0.9826163396016249,t,f,v,k,n,-0.5895695916576945,c,w,e,0,x,0.4056240037619178,0
6958,-0.945540046360223,g,w,p,f,region_forest,p,w,0.6845623862438753,-2.06473861486209,0.37616653320697796,w,-0.11314657216889415,-0.46586399174451115,t,0.0,-1.0030276519842687,?,1,g,0.23783993799107553,-0.9535978013827069,-0.8796824968426168,s,f,-0.9127884750250042,e,f,s,s,b,0.8150017553976171,w,w,w,0,k,-2.3118372071381894,0
8030,-0.7867065150918657,w,w,p,s,region_forest,p,w,1.2343118852581336,-1.4408551607119502,0.34161497726924267,w,0.4989272291795832,0.7556718568945662,t,0.0,-0.9201262314129227,?,1,g,-0.8764386441482291,-1.1788710384165535,-0.30020019761802763,k,f,0.579530039631155,e,f,s,s,b,-0.3286813598004687,w,w,w,0,k,1.481794247151444,0
