id,gill-attachment,pore_density_index,is_smelly,cap_firmness_index,airflow_intensity,stalk-shape,veil-color,stalk-color-below-ring,population,fiber_thickness_score,cap-shape,bruises,cap-surface,stalk-surface-below-ring,stalk-surface-above-ring,spore-print-color,stalk-color-above-ring,cap-color,gill-color,dark_spore_print,habitat,soil_mineral_level,cap_radiation_index,has_ring,gill-spacing,stalk-root,odor,forest_canopy_density,ring-number,gill-size,spore_dispersal_score,local_humidity_index,ring-type,surface_moisture_level,veil-type,is_dangerous
1238,f,-0.10097141090448586,0,2.9590905906430995,0.6745774992203892,t,w,w,s,0.3104427284702329,x,f,s,f,s,n,w,g,h,1,g,0.8508236522841439,0.30123955285574333,1,w,e,n,0.7092317739861159,o,b,-1.9088872445342686,-0.8758663623025006,e,-0.20767196400660862,p,0
7676,f,-0.7675545118963389,1,-0.603503915494421,-2.539900461042282,t,w,w,v,0.07201266385512482,k,f,s,s,s,w,p,n,b,0,d,1.303236672844798,-1.1477564181087978,1,c,?,f,1.4602941229535034,o,n,1.1418028166287097,0.8807333643922226,e,0.9410377363248739,p,0
4978,f,-0.0866593445732963,1,-0.21956033492399438,0.723155853972493,e,w,b,v,1.1894071423900159,x,f,y,k,k,h,p,y,p,1,d,-0.28536990784163646,0.7914383844818831,1,c,b,f,0.9454153039381746,o,b,1.5404764274852658,-1.5379279063131959,l,0.4630868161622686,p,1
4333,f,0.09169732402721498,1,0.635544571242232,-0.48313983321321985,e,w,n,v,-0.31908660378262194,x,f,y,k,k,h,b,g,h,1,d,1.7744132816355558,0.17804146059291137,1,c,b,f,-0.8691036320942565,o,b,0.5344283194373859,-0.39049044234756203,l,1.4191303675543003,p,1
6893,f,0.6528153823025257,1,0.5064671545848963,-0.3032114352370983,t,w,w,v,0.41679814012023036,f,f,s,s,s,w,p,n,b,0,d,-0.16423969468165162,-1.077957424450283,1,c,?,s,1.3825327330852932,o,n,-0.6033761150396826,0.20018230071007675,e,0.342118523358526,p,1
4563,f,0.2526493245174021,1,-0.19889892974259724,1.709383062557031,e,w,p,v,0.6788250159673933,x,f,f,k,k,h,b,y,p,1,d,-1.0459863273096224,-0.34128298769902865,1,c,b,f,-0.5947928246421882,o,b,0.9862183541166012,-0.3460120662977004,l,0.543840195833846,p,1
5662,f,0.5167069969459599,1,-0.7511558687010546,-1.88461644323259,e,w,n,y,1.5500818898953135,f,f,y,k,k,h,p,y,g,1,g,0.049258752886093216,0.37284031048109784,1,c,b,f,1.4649364770294724,o,b,-1.386932860590037,0.8774153776890192,l,-0.566551674227108,p,1
4317,f,-0.9269509125878089,1,0.48536617754554423,0.5149770006122194,e,w,b,v,-1.2609733166122568,f,f,f,k,k,h,b,g,h,1,g,0.5373311978636264,0.3620963834172056,1,c,b,f,0.4038080895873361,o,b,1.2584320145669974,0.6998570797642827,l,0.13671163729453326,p,1
7870,f,1.0127239797213556,0,-2.20254002791545,1.5736946819845448,e,w,w,n,-0.6793187144430608,k,f,s,s,k,w,w,w,g,0,g,-0.8132755602362972,-1.0524118503370727,1,w,?,n,0.07385169220582406,t,b,0.28355164695005136,0.392390845023075,p,-0.13567903406628096,p,0
392,f,-0.33027059471010706,1,-1.9857989907109712,-1.4404442001966475,e,w,w,n,-0.35697382597705546,b,t,y,s,s,n,w,w,n,1,g,-0.390749942347438,-1.0117432820671357,1,c,c,a,0.18191381497349077,o,b,-0.4932466470619989,-1.8995314528313676,p,-0.21316852493030483,p,1
3815,f,0.9073844497801132,1,1.5605752701881253,0.734527714049786,e,w,p,y,-0.40731591460675676,x,f,y,k,k,h,n,g,h,1,p,1.1574785736901194,-0.4248292604217613,1,c,b,f,0.7094164136840744,o,b,-1.4018209920500806,0.9476280230417515,l,0.2664700886364802,p,1
3941,f,1.2655047723801816,1,1.1243501613986955,0.5259565323105686,e,w,p,v,0.011853067660183687,f,f,y,k,k,h,b,g,p,1,g,-1.3341653079862996,-1.0088039690648667,1,c,b,f,-0.01875339017047857,o,b,-1.2405891162130178,-1.0951575758557142,l,-0.7951637696651995,p,1
7067,f,0.11255722265714742,0,-0.04063158995848167,0.9868430833722499,e,w,w,s,1.2490167343917755,k,f,s,k,k,w,w,g,g,0,g,1.5051483947294444,-2.2033021521377867,1,w,?,n,-1.8026554896566862,t,b,0.8289870968421318,0.7444553679031425,p,-0.9563102826787476,p,0
546,f,1.0024274260569954,1,0.7506999816780775,-0.2775912630529983,e,w,w,s,2.1214872648739473,b,t,y,s,s,n,w,y,g,1,m,-0.6060578777263901,1.107198783759151,1,c,c,l,-0.9950782238654786,o,b,-0.7105908688488413,1.688965164987287,p,-1.35349157147302,p,1
771,f,0.07044991143190037,1,1.2693253180378326,-1.8630893699546152,e,w,w,s,0.43168512698500267,b,t,s,s,s,n,w,y,k,1,m,0.03126328234657535,-0.055393149551141316,1,c,c,l,0.7327898614482384,o,b,-0.5402807805326695,-1.4100130399454864,p,-0.02157741661526991,p,1
5641,f,1.9142763678303174,0,0.5425265905148402,-2.6096025713628834,e,w,n,v,1.9584513290893593,f,f,y,y,k,w,w,y,w,0,d,0.7398624714709977,0.21908085746929157,1,c,?,n,1.567689400849462,o,n,1.1588787993910816,1.1828534265552817,e,-0.2833854265160508,p,0
5884,f,-1.2969245140865595,1,0.44117640908112865,0.03834829712066103,t,w,w,v,0.22712595147916922,x,f,y,k,k,w,w,e,b,0,d,-0.746330789106159,0.7070008497304645,1,c,?,y,0.659025230271342,o,n,-0.5583123996210527,1.0482934138726248,e,0.4467267145738957,p,1
5235,f,0.09751054913350883,1,-0.24644773991810232,-1.2022754719189606,e,w,b,v,1.5297758630635638,f,f,y,k,k,h,n,y,p,1,d,0.053420114718973004,-0.28764169525648586,1,c,b,f,-1.2822170223654294,o,b,-0.8565950944796871,0.6662805744575191,l,-2.2135746230952877,p,1
7417,f,-0.7090591374176107,1,-1.7549004915056021,0.5216889369647574,t,w,p,v,-0.48833616791253404,k,f,s,s,k,w,p,n,b,0,l,0.2924257748280846,-0.09512266834435233,1,c,?,s,-1.8601337906118476,o,n,-0.7222559333850793,1.5763656864358015,e,-0.6587673126308056,p,0
115,f,-0.7052875133611911,1,0.19835916731883396,0.20893304585680395,e,w,w,s,1.0598149960620862,x,t,y,y,s,n,w,y,p,1,g,0.4588129164212423,0.2669125437315284,1,c,r,l,1.3786407316714255,o,b,-0.41166777252087766,0.5459189185652138,p,-0.577660814366683,p,1
4483,f,-1.5275722022810794,1,-1.3466113728618603,-0.07951001740425839,e,w,p,v,-0.3789967448415764,f,f,y,k,k,h,b,g,h,1,g,2.020107924978828,1.5242581025866502,1,c,b,f,-0.2147654112624992,o,b,0.10510325290889956,-2.3074946994233048,l,0.6042103472318449,p,1
4802,f,-1.3910844683589458,1,-2.331812187036408,0.13974997210484202,t,w,w,v,-0.672716445581102,f,t,s,f,s,h,w,g,p,1,g,0.6968232305429287,0.11133833052963384,1,c,b,f,0.41886011389236905,o,b,0.1496353169801681,0.45644993158970804,p,1.7409584463809726,p,1
3361,f,1.381603501781544,0,-1.3751874171082699,-0.8173061631346641,t,w,p,v,0.0019858210611569498,f,t,y,s,s,n,p,e,w,1,d,-0.7817763411611117,-0.03578067442960642,1,c,b,n,-0.5555056314579767,o,b,0.06804900262901682,1.7651919782071444,p,1.2763835590745916,p,0
4555,f,-0.746891465807848,1,-0.2473085056075546,1.0973682686510373,e,w,b,y,0.13545725098508216,x,f,f,k,k,h,p,y,g,1,d,-1.8043396426887517,-0.43734128611486406,1,c,b,f,-0.2903288115248187,o,b,-0.1285488489885883,-0.27270244504476393,l,-0.6272044142101095,p,1
5587,f,-0.6987274449738976,0,-0.7133524477014987,0.4597405322023926,e,w,w,v,0.3746462320152086,b,t,y,s,s,r,w,p,w,0,m,1.3569683880752719,1.2224173766334727,1,c,b,n,-0.9743639394227522,t,b,-0.6893456335242054,0.29608459197220993,p,-0.8355065338895054,p,0
1698,f,-1.2905893874745975,0,-0.8451655271269194,-1.4075731370177886,t,w,w,a,-0.19402813945088113,x,f,f,s,s,n,w,g,k,1,g,0.3532798441148633,0.5337348480787433,1,w,e,n,-1.4159541109168274,o,b,-2.4978693990494727,0.23992541646744792,e,-0.15637837777840877,p,0
4636,f,0.800387995849513,1,0.24481066312140204,-1.6289604898592134,e,w,b,v,0.4920357635327086,x,f,y,k,k,h,p,y,p,1,p,0.2887058912490441,-0.6847493811558659,1,c,b,f,-0.27518451362561125,o,b,1.2435598584144414,-0.4654527186658067,l,0.8332963554301374,p,0
2840,f,1.1123977427686944,0,1.5860829917212003,-0.25410212162113754,t,w,g,v,0.29874123529077695,x,t,f,s,s,k,g,g,u,1,d,0.8139328084993022,-2.105936549359487,1,c,b,n,-0.9050618841305742,o,b,0.19680772258879972,2.6120026315585054,p,-1.1144114018925153,p,0
1405,f,-0.044928061197346825,1,-1.3593864184938602,1.0562908430517366,e,w,w,s,-0.840503533959904,f,t,y,s,s,n,w,w,p,1,u,0.9731964909554085,-0.7622038414787936,1,c,e,p,-0.5804467113046599,o,n,-1.5305136737761629,-0.6893452474447985,p,0.08553256189442238,p,1
7601,f,0.166627273331217,1,-1.1888954535785217,-0.8132634132074332,t,w,p,v,1.0693485294074356,k,f,y,k,k,w,w,e,b,0,l,-1.306075700152466,-1.1343561829591342,1,c,?,f,0.36820399311071716,o,n,0.2806703634223003,-0.6118216445042789,e,-0.38777291541602826,p,0
5677,f,0.7838437598577355,1,-0.0073912978467148135,0.7515739400257642,t,w,w,v,0.9482447316226585,x,t,s,f,f,h,w,w,w,1,g,-0.4902686887874227,-1.2741142574561992,1,c,b,f,1.2660708624808228,o,b,-0.4271628473161136,-0.364283179683826,p,1.3467706690639987,p,1
630,f,1.52761021378965,0,0.863798014412438,1.5981817539368082,t,w,w,s,0.007125258531753792,f,f,f,s,s,n,w,n,n,1,g,-0.2497896757927129,2.2870281241353365,1,w,e,n,0.35924264360008684,o,b,-0.13506601661139833,-1.6555197273045084,e,1.0546956273055468,p,1
3016,f,1.4590826539759236,1,-0.3677232874755995,-0.01007811021819138,e,w,n,v,0.7450385877764873,x,f,f,k,k,h,p,g,g,1,g,-0.9373794053604766,0.32260674146855295,1,c,b,f,-0.2679218224372021,o,b,-2.2320930675174475,1.0487944788315295,l,0.8091776925589377,p,1
6258,f,1.8980522355329246,1,-0.7400021099732134,-0.27840437820706043,t,w,w,v,0.9308995216674001,f,f,s,k,s,w,w,e,b,0,l,1.162236938638048,0.4645438440992519,1,c,?,s,1.2078159649118232,o,n,1.4154678117046395,0.8858638640369837,e,0.7150223836665484,p,0
7146,f,-0.0960576478592205,1,-1.1716121143338896,-0.40893180898099674,e,w,c,c,-0.5186191951104016,f,f,y,y,k,w,c,c,w,0,d,-0.8991553677300981,0.6928762871957925,0,c,c,m,-0.0548354030499246,n,b,0.10042771419171097,0.28414132475763687,n,1.1467941621098956,p,1
6269,f,1.0535759956657134,1,0.519184581186122,1.3584398966671505,t,w,p,v,0.506465042834075,x,f,s,s,s,w,w,e,b,0,d,-0.12481398433275723,-0.09293511231951143,1,c,?,y,1.1156429010713373,o,n,0.3223423716840654,-0.9228789510218467,e,-0.019841847039983276,p,0
8115,a,-1.2074335422431572,0,1.0440286746074332,1.0747911918613076,e,o,o,v,-1.9977138424801,x,f,s,s,s,o,o,n,y,0,l,0.6920739505411397,-1.0290179945161528,1,c,?,n,0.24931506554092395,o,b,-0.6472693864623777,-1.3905940937948238,p,-0.4425970401709636,p,0
813,f,0.7534341225603148,1,1.351347088752486,1.2239441379951155,e,w,w,v,0.8462163531553897,x,t,y,s,s,n,w,w,w,1,g,-2.075837592653073,2.79101341068057,1,c,e,p,-0.4491938485288265,o,n,0.13398554715746433,-0.6356973012987416,p,1.6409242010534517,p,1
3020,f,0.08497570986669034,0,-0.5308536074772426,-0.514645090298998,t,w,w,v,-0.9789526626999142,f,t,f,s,s,k,p,n,w,1,d,-0.8351185427566729,-0.8335832042250013,1,c,b,n,0.6188363421354571,o,b,0.4023250037297441,0.00047691290017665844,p,2.1073178997820166,p,0
4665,f,-1.0182943500515698,1,-0.5425238799243368,0.6597814146540142,e,w,p,y,0.10856129348601495,x,f,y,k,k,h,n,g,p,1,d,-0.4797690019609236,-1.1596013034024601,1,c,b,f,-1.3370989460984104,o,b,-0.4707514863883273,0.47083876334530583,l,1.2379467016632417,p,1
1360,f,-0.24223983533155816,0,-0.4190697071457578,0.7360894680781999,t,w,w,a,-1.847048136953879,f,f,f,s,f,n,w,n,p,1,g,-2.65127840172118,-1.1427893066892536,1,w,e,n,-0.8689045244416046,o,b,0.7680300047553719,-2.911400805116317,e,0.6573648262086339,p,0
4347,f,1.1176819712417643,1,1.2133339829426184,-0.8957224378468401,e,w,p,v,-2.514267670212917,f,f,f,k,k,h,p,g,h,1,g,-0.9163310667684601,-0.5817131675164984,1,c,b,f,-0.21091522816227268,o,b,1.4109301853974003,1.3377951709907052,l,-0.5191355524414507,p,0
3860,f,0.3425440231720274,0,-0.39954511291701506,-0.8854473348571373,t,w,w,v,-0.15851061281516343,x,t,y,s,s,n,w,n,n,1,d,-1.1598876707054728,2.0863619830853133,1,c,b,n,1.3997486116278053,o,b,-0.412748887838916,1.5430026439718199,p,-0.20346061104290386,p,0
7236,f,0.002519950582903893,0,0.9277246199991376,0.36960353728052275,e,w,w,n,-0.4075139037393977,b,f,s,k,k,w,w,g,p,0,g,-0.08642932247036282,0.884307994036333,1,w,?,n,-1.1591846050010943,t,b,1.113817008501053,0.3456669065120406,p,-0.9499731890155309,p,0
4223,f,0.20254088373507328,1,0.47271962736877593,-0.2988268917208286,e,w,b,y,-0.30353663580881896,x,f,y,k,k,h,n,g,p,1,p,1.5362807131220928,0.9467567811264693,1,c,b,f,0.6434573153273643,o,b,0.445387880503866,-1.0071019033238426,l,1.5248117581200582,p,1
1147,f,-1.79463751485493,0,-0.19577421210743123,-1.0565679864047057,t,w,w,a,1.9429304211713976,x,f,f,s,s,n,w,g,n,1,g,-0.29270657294699093,0.9970667905032703,1,w,e,n,0.24176785826313688,o,b,-0.6041289003030337,1.0465295015318663,e,0.06093756987086883,p,0
4028,f,1.138234719102886,1,-0.12721579085987272,-1.874705012656107,t,w,w,s,-1.1701539389205355,f,t,s,f,s,h,w,b,p,1,g,-1.451600620187331,1.7435685044579567,1,c,b,f,0.21091750162225073,o,b,-1.6019240991886257,0.29656149825854133,p,0.9585748535381327,p,1
3193,f,-1.1376621161026823,1,-1.568116139134555,0.6166393648786926,e,w,n,v,0.7804842512527608,f,f,f,k,k,h,b,y,p,1,d,0.5326095327360209,0.007135042924065588,1,c,b,f,-1.4017132637022651,o,b,0.062369680639750825,1.517929386486309,l,-0.5545702490828831,p,1
4655,f,-2.1418320715818457,1,1.11300020604651,-1.1844746266476163,e,w,b,y,0.5585120787317357,x,f,y,k,k,h,n,g,h,1,p,-1.9919224026329132,0.659680108437633,1,c,b,f,0.2239898994892969,o,b,-1.2502062442876178,-0.6856433633382107,l,-0.2207252557763486,p,1
2414,f,-1.3820867612121546,0,-0.40303571436404395,0.34322672626105905,t,w,p,v,0.6367602448296438,x,t,f,s,s,n,p,g,u,1,d,-0.12270973751668784,1.6316055794355708,1,c,b,n,0.11317069712234362,o,b,-1.7375176774718173,1.3318879290811043,p,-0.017636650032275488,p,1
1402,f,-2.074080750615848,0,-0.07897418101747768,0.6150908914586749,t,w,p,y,1.2128707571367854,x,t,f,s,s,k,g,g,n,1,d,0.3757271514135572,-1.102157496349982,1,c,b,n,0.10234557791637779,o,b,1.5345366846614368,-0.3087902311610211,p,-0.2732168331969433,p,0
162,f,-0.6508940041009349,0,-1.0062416496712276,2.1780310593993253,e,w,w,y,0.36098101048333125,x,f,f,s,s,n,w,n,k,1,u,-0.5406579143610426,-0.9455093083859051,1,c,e,n,0.04730939065453008,o,n,-0.3463263844364599,-1.4146993824790761,p,2.2210267964751194,p,1
8063,f,-1.1410097570549267,0,-0.3517579646885818,1.228174543564577,e,w,w,s,-0.4075452217347134,k,f,f,s,k,w,w,w,w,0,g,1.7161373881311097,-1.5664752301219158,1,w,?,n,1.5303430277601209,t,b,0.7249831426708235,-0.04465956523723049,p,1.211745389324271,p,0
5438,f,1.0228860541324831,1,0.3700496832654426,0.6472414904739674,e,w,p,v,-0.8210577534987169,f,f,f,k,k,h,p,g,p,1,g,-0.6497195614193039,-0.38017540035033265,1,c,b,f,-1.0496205251270547,o,b,-0.8355136632081734,0.0607996524175828,l,0.32225995534920887,p,1
5891,f,2.0070651424066988,1,0.9604181461106248,-1.174979238193095,t,w,p,v,-0.5728733812651744,x,f,y,s,s,w,w,n,b,0,p,0.5658837140876194,-1.092187442573601,1,c,?,f,-1.4068682536334778,o,n,-0.046108455848172226,1.5108993104620696,e,0.6284648821942466,p,1
1823,f,-0.709434883801593,0,-0.3836559430526696,-0.5294049591798812,t,w,g,y,-1.195643086701135,f,t,f,s,s,n,p,n,p,1,d,-0.30290190628468433,0.776503257173189,1,c,b,n,-1.7251989128534613,o,b,-1.3432476950112555,0.07857424231035616,p,0.1467739527628528,p,0
5406,f,1.816588117813624,1,0.32890116928473173,1.1213601447006694,e,w,p,y,-2.283670512244,f,f,y,k,k,h,p,y,g,1,d,2.7714356939562226,-1.657374083241858,1,c,b,f,0.35228258257699263,o,b,-2.533575301340313,-0.7602550764613061,l,-0.49281738971727795,p,1
5,f,-0.5639797726142536,1,-0.6878075170104481,-1.2196181479728208,e,w,w,n,-1.9386932638347938,x,t,y,s,s,k,w,y,n,1,g,-0.41886866224531993,0.9536993715277831,1,c,c,a,1.7342468378257512,o,b,1.803086477500355,-0.060149857465702075,p,0.22016659571216307,p,1
1384,f,0.9018323710362687,0,-0.03262702250890829,0.552759795502604,t,w,w,a,-0.40994401986941587,f,f,s,f,f,k,w,g,h,1,g,0.42453826870583167,0.3343273730808098,1,w,e,n,-1.34613765054334,o,b,-0.8673686251826834,0.9971138297961786,e,0.5593778371839864,p,0
4229,f,0.17858335606544445,1,0.30705290704565324,0.5292758624934807,e,w,p,v,-1.6066275072025784,x,f,f,k,k,h,p,y,g,1,p,-1.8883955831454997,-0.9263010281233415,1,c,b,f,0.39749956842841955,o,b,-0.7392618211574475,-0.39106084914404815,l,1.098678954870516,p,1
3161,f,0.21710610558772986,1,-1.1174080437839402,1.224552717757123,e,w,b,v,-1.1065094563007638,x,f,f,k,k,h,n,g,p,1,p,1.335902060634903,-0.4108012396743061,1,c,b,f,-0.21770687467901825,o,b,2.4110392191319376,0.10707208935001541,l,-1.2190668974550833,p,1
3472,f,0.9711111379015475,0,-1.2105851651398536,-0.43563468195894145,t,w,g,y,-0.6516552044780795,f,t,y,s,s,k,g,g,u,1,d,-0.18889468952109012,0.11020419132221863,1,c,b,n,0.6035128373245666,o,b,-0.6863152937371748,-1.0195768202719462,p,1.274992477169323,p,1
3491,f,-1.6729999500052222,0,0.10552193400288436,0.5075076265568189,t,w,p,y,0.6994217220097766,f,t,f,s,s,n,g,e,w,1,d,1.7406959686371384,-0.19707609542198043,1,c,b,n,-0.05403328815336404,o,b,0.9884633056977145,1.1230487491267584,p,-0.15786561122341225,p,0
3413,f,-0.39882292166447175,0,-1.0941030428499863,1.1108667997420651,t,w,g,v,-1.9234906855585665,x,t,f,s,s,n,p,e,u,1,d,0.7015240259258584,-0.15871239746130733,1,c,b,n,-0.5138072579541298,o,b,1.0548166227010825,0.9692541316705993,p,0.23804623471157915,p,0
1664,f,0.8366963320180734,0,1.002909868948078,0.30771826260386814,t,w,w,a,0.1441368018756278,x,f,s,f,s,k,w,w,p,1,g,-0.9431249077374019,-0.03008750879349531,1,w,e,n,-0.9912827668418491,o,b,-1.3522000422541174,0.4773081432287001,e,-0.6419077989107053,p,1
2407,f,0.40497380759755874,0,-0.40717668042659255,1.1326303312446415,t,w,w,y,-0.07037418432348097,x,t,f,s,s,n,w,e,w,1,d,-0.6057376549730813,2.205322980185941,1,c,b,n,-0.19427094095056693,o,b,0.8393332588655983,0.04226970621234813,p,-0.36464139579884286,p,0
7183,f,-0.8224825853637653,0,-1.1711785562297325,1.0289421272749388,e,w,w,n,-0.7776846409322652,b,f,s,k,k,w,w,w,g,0,g,-2.4751819111604036,-0.38780823802611275,1,w,?,n,-1.0249400758278475,t,b,1.166495733381733,0.2736262853002527,p,-0.8215297970402053,p,0
6318,f,-2.2814713441834695,1,-2.0753422635971837,-1.381132140002759,t,w,w,v,-0.7077976530963542,f,f,y,s,s,w,p,n,b,0,p,-0.16099577638573592,-0.5255555168039334,1,c,?,f,0.24393537399112322,o,n,-1.9147608687854425,1.4279735835294314,e,0.8482598251254296,p,0
4878,f,-0.29553017114604324,1,0.8767065773758641,-2.550395822984715,e,w,b,y,-1.125733704213923,f,f,f,k,k,h,b,y,p,1,p,-0.9345310729077908,0.593087236612582,1,c,b,f,-1.6395791717583725,o,b,-0.45514892170104365,0.48809869091381725,l,0.2680200381594347,p,1
3366,f,0.686018714448087,1,0.8541173345352181,-0.30544956996344924,e,w,w,s,0.4809597674335028,x,f,s,s,s,k,w,g,u,1,d,0.3177047432210645,0.8421611251831925,1,c,b,c,-0.9999415330903345,o,n,0.5678508088552607,-1.0006126028073279,p,-0.4808332298604204,p,1
349,f,-0.08086719243780918,0,1.5023554712759948,-0.4796615226348342,e,w,w,y,-0.28710385543127714,x,f,f,s,s,n,w,n,g,1,u,0.29350172462520285,0.40883438971470354,1,c,e,n,0.20343122775245637,o,n,1.2043836178872243,-0.27578054430745563,p,1.75212411066441,p,1
4740,f,0.5250954351258919,1,1.9854063611115242,0.14981316993611057,e,w,b,v,0.7203391783286083,f,f,f,k,k,h,p,g,p,1,d,-0.10523257523401572,-0.7876969728267735,1,c,b,f,0.4601094200103538,o,b,1.1181295771451112,0.1509498958173376,l,0.39043344921914314,p,1
5055,f,-2.27370925461957,1,-1.0022037645773594,1.602790233668246,e,w,p,y,0.002257896705598905,f,f,f,k,k,h,b,y,g,1,p,0.8977754296295897,-0.10881625160072983,1,c,b,f,-0.030231799921587428,o,b,0.3950177927395522,-1.3132739004885319,l,-0.3461613600997941,p,1
